,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Rasmussen Jacob,397,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,3,0,0,0,53,2,0,2,0,2,3,0,0,0,0,0,4,0,0,0,5,0,0,1,0,2,2,0,0,0,1,69,3,0,1,10,0
Duursma Iwan Maynard,1,421,3,1,0,0,0,0,2,0,1,5,1,0,0,0,0,0,2,1,1,1,0,0,3,0,0,1,2,0,2,0,1,8,0,0,0,0,1,0,0,0,2,2,0,2,5,1,0,3,4,0,1,2,2,0,0,0,2,0,0,4,2,1,2,1,1,0,3,3
Thorner Jesse,0,3,378,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,27,0,0,2,0,0,1,1,1,0,47,0,0,0,0,88,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,7,1,0,0,0,0,0,3,0,0,2,0,0,0,0,1
Balogh József,0,1,0,1699,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,7,1,4,4,2,0,0,19,2,0,1,0,8,2,0,0,0,6,4,0,0,5,0,0,1,0,9,0,14,2,0,2,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,283
Cooney Daniel B,0,0,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feng Runhuan,0,0,0,0,0,274,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50,0,0,2,3,0,1,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirani Anil N,0,0,0,0,0,0,213,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,26,0,0,0,3,0,0,1,0,1
Mineyev Igor,0,0,0,0,0,0,1,202,0,1,8,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,5,0,0,0,2,0,0,7,0,0,1,0,0
La Nave Gabriele,0,2,0,0,1,0,0,0,208,0,1,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,3,2,2,0,2,0,1,7,1,1,1,0,0,0,1,0,8,1,9,7,0
Guzman Rosemary K,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Junge Marius,1,1,1,3,0,1,0,8,1,0,1835,1,0,1,0,1,0,1,0,0,1,54,0,1,2,172,7,0,6,11,0,9,12,13,8,0,0,0,1,5,4,0,6,0,4,2,71,4,0,3,20,6,9,0,12,11,1,12,1,3,1,0,0,0,1,1,0,0,0,0
Stojanoska Vesna,1,5,1,0,0,0,0,1,1,0,1,307,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,6,0,0,5,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,2,0,0,0,3,0,1,2,0,3,0,0,6,50,2,3,1,2,0,4,0
Reznick Bruce,0,1,1,2,0,0,0,0,0,0,0,0,305,0,0,0,0,1,1,0,1,1,0,1,1,4,0,0,6,2,0,0,11,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,0,2,0,2,1,1,0,0,1,0,0,0,0,0
Hur Vera Mikyoung,0,0,0,0,0,0,1,0,1,0,1,0,0,702,0,0,0,0,0,2,10,1,9,0,90,1,2,0,0,10,0,0,1,2,4,0,0,0,4,3,3,0,3,0,15,1,0,0,0,0,7,4,22,0,1,6,1,2,1,0,12,0,0,0,0,0,0,0,0,0
Berwick-Evans Daniel,0,0,0,0,0,0,0,0,1,0,0,5,0,0,164,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,16,0,0,0,1,6,3,0
Wei Wei,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quan Zhiyu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kedem Rinat,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,254,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,2,196,0,0,0,0,0,0,0,0,1,0
Ahlgren Scott D,0,2,27,0,0,1,0,0,0,0,0,3,1,0,2,0,0,1,475,0,0,0,0,0,0,0,0,0,12,0,0,0,0,72,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,7,1,1,0,0,1,0,5,2,0,6,0,0,1,2,0
Fernandes Rui Loja,0,1,0,0,0,0,1,1,4,0,0,1,0,2,8,0,0,0,0,462,2,0,1,0,2,0,7,0,0,2,1,0,4,0,0,0,0,0,1,2,4,0,7,2,0,0,0,0,0,1,0,2,0,2,0,0,38,1,4,1,2,1,0,0,0,2,0,22,2,0
Rapti Zoi,0,1,0,0,0,1,1,0,0,0,1,0,1,10,0,0,0,0,0,2,187,0,11,1,86,1,0,0,0,4,0,1,1,1,0,0,0,0,25,5,0,0,2,0,1,0,0,0,0,0,2,1,8,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Kutzarova Denka N,0,1,2,7,0,0,0,0,0,0,54,0,1,1,0,0,0,0,0,0,0,548,0,0,0,82,6,0,48,2,0,0,9,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kirr Eduard,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,11,0,162,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,6,0,0,0,0,0,5,0,33,0,1,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0
